output,parameter,S1,S1_conf
mean_fighting,similarity_threshold,0.05614066800901462,0.07512925543603892
mean_fighting,fight_threshold,0.6255766824149438,0.17351281150671904
mean_fighting,hawk_dove_C,0.02408177900550785,0.0608212300491866
mean_fighting,police_density,0.10898879044839258,0.09091105596241854
std_fighting,similarity_threshold,0.021194303438419042,0.18476624337457756
std_fighting,fight_threshold,0.40667754747225765,0.23165702696713752
std_fighting,hawk_dove_C,0.10722009867004052,0.16425042766107775
std_fighting,police_density,0.08111149403817354,0.11757476763086878
peak_fighting,similarity_threshold,0.04545567108442019,0.07085619171574398
peak_fighting,fight_threshold,0.6423866953571026,0.17174165498451702
peak_fighting,hawk_dove_C,0.02319548326265658,0.06161544073188899
peak_fighting,police_density,0.10711692130982226,0.08858310103830858
mean_fighting_fraction,similarity_threshold,0.056140668009014606,0.07512925543603892
mean_fighting_fraction,fight_threshold,0.6255766824149438,0.17351281150671904
mean_fighting_fraction,hawk_dove_C,0.024081779005507814,0.0608212300491866
mean_fighting_fraction,police_density,0.10898879044839259,0.09091105596241854
arrests_measurement,similarity_threshold,0.06244095945379596,0.06022117731596928
arrests_measurement,fight_threshold,0.49292701851176907,0.1815050862293925
arrests_measurement,hawk_dove_C,0.005538695098677342,0.02427324161255937
arrests_measurement,police_density,0.08073079556884284,0.14068467440976978
mean_arrests_per_step,similarity_threshold,0.06244095945379599,0.06022117731596926
mean_arrests_per_step,fight_threshold,0.4929270185117693,0.18150508622939254
mean_arrests_per_step,hawk_dove_C,0.00553869509867735,0.024273241612559372
mean_arrests_per_step,police_density,0.08073079556884288,0.14068467440976973
mean_spatial_entropy_local,similarity_threshold,0.8003287770367379,0.16904369545790687
mean_spatial_entropy_local,fight_threshold,0.020592529189848212,0.08683060463739169
mean_spatial_entropy_local,hawk_dove_C,0.024910433005821627,0.07460750184610071
mean_spatial_entropy_local,police_density,-0.016171767809151562,0.059802543797910196
mean_similarity,similarity_threshold,0.8899249109007338,0.15447626082173188
mean_similarity,fight_threshold,0.008518186971900517,0.05946310514672835
mean_similarity,hawk_dove_C,-0.002527708143059043,0.06272980041181808
mean_similarity,police_density,-0.0004939683421030673,0.05818848676498756
mean_happy_fraction,similarity_threshold,1.0104659251235335,0.18149156164173808
mean_happy_fraction,fight_threshold,0.014237870943254917,0.022317279941814577
mean_happy_fraction,hawk_dove_C,-0.0028917202114153526,0.017028707669922094
mean_happy_fraction,police_density,-0.01325425665330125,0.022466516491852676
mean_win_probability,similarity_threshold,0.7644376955280018,0.18393992002019358
mean_win_probability,fight_threshold,-0.007003634146283407,0.0748791701008742
mean_win_probability,hawk_dove_C,0.029735816298608216,0.09623308455392456
mean_win_probability,police_density,-0.007169590808313261,0.0557096562808888
mean_arrest_probability,similarity_threshold,0.002439715168699497,0.016744102860737912
mean_arrest_probability,fight_threshold,0.013015607759587973,0.01931515985806236
mean_arrest_probability,hawk_dove_C,0.008809335498647233,0.010378153444660802
mean_arrest_probability,police_density,0.9950338936163889,0.21705116925132656
