parameter_value,runs,mean_total_arrests,std_total_arrests,min_total_arrests,max_total_arrests,mean_arrest_fraction,std_arrest_fraction,mean_remaining_fans
0.0,3,0.0,0.0,0,0,0.0,0.0,1280.0
0.01,3,246.66666666666666,4.041451884327377,243,251,0.19270833333333334,0.0031573842846307687,1033.3333333333333
0.02,3,453.0,4.0,449,457,0.35390625000000003,0.0031250000000000097,827.0
0.03,3,578.6666666666666,24.006943440041127,551,594,0.45208333333333334,0.018755424562532118,701.3333333333334
0.04,3,667.3333333333334,7.767453465154013,661,676,0.5213541666666667,0.006068323019651563,612.6666666666666
0.05,3,675.3333333333334,29.670411748631537,653,709,0.5276041666666668,0.02318000917861845,604.6666666666666
0.06,3,696.0,12.12435565298214,683,707,0.5437500000000001,0.009472152853892331,584.0
0.07,3,683.3333333333334,22.052966542697472,659,702,0.5338541666666666,0.017228880111482416,596.6666666666666
0.08,3,656.0,10.535653752852738,645,666,0.5125000000000001,0.008230979494416184,624.0
0.09,3,641.6666666666666,9.712534856222323,631,650,0.5013020833333334,0.00758791785642367,638.3333333333334
0.1,3,627.0,5.196152422706632,624,633,0.48984374999999997,0.004059494080239558,653.0
