setup_id,setup_name,repeat,seed,valid,failure_code,warmup_steps,cohort_size,arrested_count,not_arrested_count,arrest_fraction,mean_time_to_arrest,median_time_to_arrest,runtime_seconds
0,low_similarity_threshold,0,43,True,,10,960,824,136,0.8583333333333333,28.74635922330097,21.0,11.27955700000166
0,low_similarity_threshold,1,44,True,,10,960,840,120,0.875,27.989285714285714,21.0,11.129120499994315
0,low_similarity_threshold,2,45,True,,10,960,844,116,0.8791666666666667,28.03554502369668,21.0,11.106250500000897
0,low_similarity_threshold,3,46,True,,10,960,836,124,0.8708333333333333,26.895933014354068,20.0,11.329290499998024
0,low_similarity_threshold,4,47,True,,10,960,840,120,0.875,27.59642857142857,20.5,11.399049100000411
0,low_similarity_threshold,5,48,True,,10,960,851,109,0.8864583333333333,27.849588719153935,20.0,11.536181900002703
0,low_similarity_threshold,6,49,True,,10,960,821,139,0.8552083333333333,28.740560292326432,21.0,11.647763900000427
0,low_similarity_threshold,7,50,True,,10,960,827,133,0.8614583333333333,26.183796856106408,18.0,11.27068270000018
0,low_similarity_threshold,8,51,True,,10,960,834,126,0.86875,28.334532374100718,19.0,13.944124000001466
0,low_similarity_threshold,9,52,True,,10,960,824,136,0.8583333333333333,26.490291262135923,19.0,14.22589059999882
1,medium_similarity_threshold,0,43,True,,11,960,785,175,0.8177083333333334,30.194904458598725,22.0,15.319760999998834
1,medium_similarity_threshold,1,44,True,,12,960,772,188,0.8041666666666667,30.567357512953368,23.0,15.4475736999957
1,medium_similarity_threshold,2,45,True,,11,960,786,174,0.81875,28.748091603053435,20.0,15.342276700001094
1,medium_similarity_threshold,3,46,True,,11,960,791,169,0.8239583333333333,28.428571428571427,21.0,14.958010700000159
1,medium_similarity_threshold,4,47,True,,12,960,800,160,0.8333333333333334,28.145,20.0,15.199569199998223
1,medium_similarity_threshold,5,48,True,,12,960,818,142,0.8520833333333333,28.102689486552567,19.0,15.064251900003
1,medium_similarity_threshold,6,49,True,,13,960,810,150,0.84375,29.32716049382716,23.0,15.045089999999618
1,medium_similarity_threshold,7,50,True,,11,960,818,142,0.8520833333333333,29.964547677261614,21.0,14.990982700001041
1,medium_similarity_threshold,8,51,True,,13,960,801,159,0.834375,29.004993757802747,20.0,14.892789300000004
1,medium_similarity_threshold,9,52,True,,11,960,751,209,0.7822916666666667,27.139813581890813,17.0,15.107639900001232
2,high_similarity_threshold,0,43,True,,93,960,850,110,0.8854166666666666,24.94235294117647,16.0,28.205268999998225
2,high_similarity_threshold,1,44,True,,52,960,836,124,0.8708333333333333,25.288277511961724,17.0,26.714148999999452
2,high_similarity_threshold,2,45,True,,34,960,842,118,0.8770833333333333,25.593824228028502,16.5,25.275254699998186
2,high_similarity_threshold,3,46,True,,24,960,869,91,0.9052083333333333,27.0897583429229,17.0,24.629470600004424
2,high_similarity_threshold,4,47,True,,43,960,856,104,0.8916666666666667,25.95911214953271,17.0,23.032221400004346
2,high_similarity_threshold,5,48,True,,37,960,859,101,0.8947916666666667,22.89871944121071,15.0,22.74768269999913
2,high_similarity_threshold,6,49,True,,76,960,852,108,0.8875,26.158450704225352,16.0,23.187821499996062
2,high_similarity_threshold,7,50,True,,24,960,840,120,0.875,24.01547619047619,15.0,21.679977499996312
2,high_similarity_threshold,8,51,True,,82,960,854,106,0.8895833333333333,24.42271662763466,17.0,18.31329299999925
2,high_similarity_threshold,9,52,True,,46,960,872,88,0.9083333333333333,26.514908256880734,17.0,16.608647900000506
